Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
PAYC,0.297207315,0.801770489,0.036353867,0.265466779,0.826644421,1.832881331,-0.846453905,-0.101686805,0.4427
ROP,0.075994503,0.862143397,0.022717489,0.272748381,0.890825033,1.996478558,-0.940340102,-0.204640642,0.1392
KO,0.068726319,0.914757332,0.043440185,0.280531198,0.9386096,2.034105301,-0.953637838,-0.190145716,0.1615
DUK,0.090268012,0.870024413,0.053304665,0.269265562,0.950690806,2.175087929,-1.000528455,-0.143124476,0.1898
TXT,0.14166546,0.817173953,0.060415025,0.290235639,0.914597392,2.072128534,-0.959528565,-0.173611641,0.2702
KEY,0.321824904,0.804858416,0.10904255,0.259567529,0.778581977,1.783455729,-0.912513375,-0.140268475,0.423
CNC,0.123770943,0.849146252,0.064144509,0.262972623,0.784529686,1.69923532,-0.815565884,-0.093045436,0.2589
C,0.187869794,0.875552231,0.150406503,0.310644597,0.98321259,2.186198711,-1.03479445,-0.181939274,0.2057
BIO,0.171718187,0.796883619,0,0.323532194,0.879045367,2.031059027,-0.950968266,-0.165462077,0.3058
BEN,0.119558076,0.808837026,0.072064432,0.250642151,0.722407281,1.677834511,-0.813918233,-0.123984911,0.2502
SEDG,0.956865131,0.771229562,0.053195991,0.187585741,0.387977928,0.798665822,-0.35735178,-0.085880794,0.7594
AVY,0.115262788,0.815999163,0.032917204,0.253125638,0.90115726,2.037843943,-0.896893978,-0.154922724,0.1922
RL,0.417664333,0.793504632,0.066884174,0.281403244,0.854438782,1.93084836,-0.909418881,-0.161397681,0.2387
RSG,0.072105704,0.858346601,0.033224086,0.272849977,0.91926384,1.956338525,-0.921493292,-0.099662155,0.1407
AOS,0.165926769,0.805137553,0.028113579,0.262782186,0.738603055,1.861307502,-0.855644345,-0.11960762,0.2409
CHTR,0.157774675,0.866326555,0.073619038,0.225102097,0.725175619,1.569428205,-0.781226873,-0.120887898,0.3118
LH,0.204433115,0.82285194,0.046541003,0.245395616,0.781435013,1.834160447,-0.861091435,-0.116848812,0.16
BSX,0.118255161,0.874261193,0.015544041,0.266627342,0.722298563,1.654733539,-0.764230072,-0.109653682,0.2287
BLK,0.082932591,0.882591204,0.035346208,0.21881555,0.711705089,1.587079048,-0.763603091,-0.095615678,0.1874
VZ,0.112039169,0.897478185,0.140061507,0.238223657,0.762106121,1.647242785,-0.785969913,-0.136923924,0.2962
AMZN,0.105458379,0.976939367,0.013795046,0.20058547,0.736921787,1.572666526,-0.720773458,-0.076655395,0.3447
CMA,0.322196157,0.782982985,0.206390536,0.263580889,0.890675724,1.993056417,-0.987656236,-0.12649861,0.3907
DXCM,0.274330705,0.847041477,0.009810263,0.275954306,0.779290974,1.790834904,-0.854426026,-0.178654402,0.4714
EL,0.241339451,0.851895799,0.013464838,0.286872059,0.89528513,1.984662771,-0.924954772,-0.128329039,0.2941
UDR,0.152796127,0.808657874,0.0415394,0.237177148,0.705265105,1.652887344,-0.747047544,-0.160963595,0.2131
MO,0.095367316,0.87138195,0.121890542,0.296748459,0.880970955,2.096516848,-0.985735595,-0.14921768,0.194
